target,source_id,cell_id,condition_id,discharge_stage,sample_count,model_mae,model_p95_absolute_error,physical_mae,physical_max_absolute_error
soc,mit_stanford_fast_charge,b1c33,6C(60%)-3C,0-25%,5667,,,4.803717763156668e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c33,6C(60%)-3C,25-50%,931,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c33,6C(60%)-3C,50-75%,904,,,2.505370542295707e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c33,6C(60%)-3C,75-100%,4045,,,4.300307632770932e-17,9.952975943416931e-17
soc,mit_stanford_fast_charge,b1c33,6C(60%)-3C,>100%,176,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c34,7C(30%)-3.6C,0-25%,5914,,,4.597457198692946e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c34,7C(30%)-3.6C,25-50%,927,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c34,7C(30%)-3.6C,50-75%,921,,,2.5736440364546245e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c34,7C(30%)-3.6C,75-100%,3782,,,4.330355114113958e-17,9.952975943416931e-17
soc,mit_stanford_fast_charge,b1c34,7C(30%)-3.6C,>100%,227,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c35,7C(30%)-3.6C,0-25%,6594,,,5.0796828409070327e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c35,7C(30%)-3.6C,25-50%,847,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c35,7C(30%)-3.6C,50-75%,849,,,2.3799833979008067e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c35,7C(30%)-3.6C,75-100%,3741,,,4.317525150544282e-17,9.996344030316351e-17
soc,mit_stanford_fast_charge,b1c35,7C(30%)-3.6C,>100%,203,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c36,7C(40%)-3C,0-25%,3571,,,4.644842337692478e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c36,7C(40%)-3C,25-50%,983,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c36,7C(40%)-3C,50-75%,876,,,2.3699966393253913e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c36,7C(40%)-3C,75-100%,3616,,,4.3348231285277184e-17,9.974659986866641e-17
soc,mit_stanford_fast_charge,b1c36,7C(40%)-3C,>100%,184,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c37,7C(40%)-3C,0-25%,5870,,,4.2971494241028203e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c37,7C(40%)-3C,25-50%,769,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c37,7C(40%)-3C,50-75%,801,,,2.626557592590102e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c37,7C(40%)-3C,75-100%,3453,,,4.4008609816680555e-17,9.952975943416931e-17
soc,mit_stanford_fast_charge,b1c37,7C(40%)-3C,>100%,174,,,0.0,0.0
soc,mit_stanford_fast_charge,b1c38,7C(40%)-3.6C,0-25%,5317,,,2.559965070886669e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c38,7C(40%)-3.6C,25-50%,750,,,0.0,0.0
